authorId,name,affiliations,email
145298798,S. Fuentes,University of Washington,S._Fuentes@gmail.com
30772377,E. Tongson,Yale University,E._Tongson@gmail.com
21058844,R. Unnithan,University of Pennsylvania,R._Unnithan@gmail.com
13288046,Claudia Gonzalez Viejo,University of Washington,Claudia_Gonzalez_Viejo@gmail.com
2120099756,Xin Liu,University of Pennsylvania,Xin_Liu@gmail.com
145688317,Anwitaman Datta,"University of California, San Diego",Anwitaman_Datta@gmail.com
1709901,Ee-Peng Lim,"University of California, San Diego",Ee-Peng_Lim@gmail.com
143701176,Knut Hinkelmann,FHNW University of Applied Sciences and Arts Northwestern Switzerland,Knut_Hinkelmann@gmail.com
2109247625,Sajjad Ahmed,Yale University,Sajjad_Ahmed@gmail.com
1695958,F. Corradini,University of Cambridge,F._Corradini@gmail.com
1728262,A. Negi,University of Cambridge,A._Negi@gmail.com
2292166946,Kishore Kumar,Massachusetts Institute of Technology,Kishore_Kumar@gmail.com
2225845486,Gaurang Sonkavde,University of Washington,Gaurang_Sonkavde@gmail.com
51887595,D. Dharrao,Columbia University,D._Dharrao@gmail.com
9192419,A. Bongale,Harvard University,A._Bongale@gmail.com
46610789,S. Deokate,University of Oxford,S._Deokate@gmail.com
116853525,D. Doreswamy,University of Oxford,D._Doreswamy@gmail.com
50378805,Subraya Krishna Bhat,University of Oxford,Subraya_Krishna_Bhat@gmail.com
8552088,Brankica Bratić,University of Chicago,Brankica_Bratić@gmail.com
3113695,V. Kurbalija,University of Michigan,V._Kurbalija@gmail.com
144395551,M. Ivanović,University of Michigan,M._Ivanović@gmail.com
51480852,Iztok Oder,California Institute of Technology,Iztok_Oder@gmail.com
2025112,Z. Bosnić,University of Chicago,Z._Bosnić@gmail.com
145508283,Daniil Kononenko,Columbia University,Daniil_Kononenko@gmail.com
2825246,Yaroslav Ganin,University of Washington,Yaroslav_Ganin@gmail.com
2690172,Diana Sungatullina,University of Pennsylvania,Diana_Sungatullina@gmail.com
1740145,V. Lempitsky,Stanford University,V._Lempitsky@gmail.com
2068611376,N. Tran,"University of California, Berkeley",N._Tran@gmail.com
1830412825,Samer Albahra,Yale University,Samer_Albahra@gmail.com
5371772,L. May,University of Pennsylvania,L._May@gmail.com
46611479,S. Waldman,"University of California, Los Angeles",S._Waldman@gmail.com
2148536328,Scott Crabtree,University of Chicago,Scott_Crabtree@gmail.com
2143549636,Scott Bainbridge,California Institute of Technology,Scott_Bainbridge@gmail.com
31682040,H. Rashidi,University of Chicago,H._Rashidi@gmail.com
2112820873,HaiBo Cui,Yale University,HaiBo_Cui@gmail.com
6989114,Jingjing Zhai,Princeton University,Jingjing_Zhai@gmail.com
49679382,Chuang Ma,University of Cambridge,Chuang_Ma@gmail.com
49170958,Y. Kim,University of Washington,Y._Kim@gmail.com
2242129,Youngdoo Son,Stanford University,Youngdoo_Son@gmail.com
2821001,Wonjoon Kim,Yale University,Wonjoon_Kim@gmail.com
2996101,Byungki Jin,University of Oxford,Byungki_Jin@gmail.com
1716140,M. Yun,University of Pennsylvania,M._Yun@gmail.com
2119657963,Bowen Yang,Columbia University,Bowen_Yang@gmail.com
4713365,F. Haghighat,University of Oxford,F._Haghighat@gmail.com
1760762,B. Fung,Princeton University,B._Fung@gmail.com
95356210,K. Panchabikesan,Massachusetts Institute of Technology,K._Panchabikesan@gmail.com
153446958,W. Kew,University of Washington,W._Kew@gmail.com
1988489309,J. Mitchell,"University of California, San Diego",J._Mitchell@gmail.com
2719667,K. Saho,Harvard University,K._Saho@gmail.com
1383246948,Sora Hayashi,California Institute of Technology,Sora_Hayashi@gmail.com
2156211656,Mutsuki Tsuyama,University of Chicago,Mutsuki_Tsuyama@gmail.com
2113608835,Lin Meng,Harvard University,Lin_Meng@gmail.com
2328680,M. Masugi,University of Chicago,M._Masugi@gmail.com
51437071,P. Bidyuk,University of Michigan,P._Bidyuk@gmail.com
28354393,A. Gozhyj,Yale University,A._Gozhyj@gmail.com
1571154002,I. Kalinina,Massachusetts Institute of Technology,I._Kalinina@gmail.com
9077801,V. Vysotska,Yale University,V._Vysotska@gmail.com
2764631,Victoria A. Fratto,"University of California, Los Angeles",Victoria_A._Fratto@gmail.com
1747491,P. Bouyer,Harvard University,P._Bouyer@gmail.com
1685173,Thomas Brihaye,University of Oxford,Thomas_Brihaye@gmail.com
1749716,Fabrice Chevalier,California Institute of Technology,Fabrice_Chevalier@gmail.com
39977859,S. Chon,Harvard University,S._Chon@gmail.com
51042372,Ferdinand Timmermann,California Institute of Technology,Ferdinand_Timmermann@gmail.com
2794091,Thomas Dratsch,Columbia University,Thomas_Dratsch@gmail.com
8625509,N. Schuelper,University of Oxford,N._Schuelper@gmail.com
49894422,P. Plum,University of Cambridge,P._Plum@gmail.com
81127051,F. Berlth,Columbia University,F._Berlth@gmail.com
51040845,R. Datta,"University of California, San Diego",R._Datta@gmail.com
2074443600,C. Schramm,"University of California, Berkeley",C._Schramm@gmail.com
3899780,S. Haneder,California Institute of Technology,S._Haneder@gmail.com
2091905565,Martin Richard Späth,"University of California, San Diego",Martin_Richard_Späth@gmail.com
11735268,M. Dübbers,California Institute of Technology,M._Dübbers@gmail.com
144504726,Julia Kleinert,University of Cambridge,Julia_Kleinert@gmail.com
5019281,T. Raupach,Stanford University,T._Raupach@gmail.com
2655343,C. Bruns,University of Michigan,C._Bruns@gmail.com
49914182,R. Kleinert,University of Cambridge,R._Kleinert@gmail.com
1738145,J. Huyck,Stanford University,J._Huyck@gmail.com
3115896,T. Brázdil,University of Chicago,T._Brázdil@gmail.com
2275592032,Krishnendu Chatterjee,"University of California, Berkeley",Krishnendu_Chatterjee@gmail.com
2701404,A. Kucera,University of Pennsylvania,A._Kucera@gmail.com
40136108,Petr Novotný,University of Pennsylvania,Petr_Novotný@gmail.com
2089829,Edward F. Melcer,University of Oxford,Edward_F._Melcer@gmail.com
2877935,J. Ryan,University of Michigan,J._Ryan@gmail.com
1394258787,Nick Junius,Harvard University,Nick_Junius@gmail.com
46221898,M. Kreminski,Princeton University,M._Kreminski@gmail.com
113134742,Dietrich Squinkifer,University of Cambridge,Dietrich_Squinkifer@gmail.com
144237889,Brent D. Hill,Stanford University,Brent_D._Hill@gmail.com
1390043728,Noah Wardrip-Fruin,"University of California, Berkeley",Noah_Wardrip-Fruin@gmail.com
2185666,Dinah Rosenberg,Massachusetts Institute of Technology,Dinah_Rosenberg@gmail.com
2440316,N. Vieille,University of Pennsylvania,N._Vieille@gmail.com
145748799,David R. M. Thompson,'Google',David_R._M._Thompson@gmail.com
144879753,Samantha Leung,Yale University,Samantha_Leung@gmail.com
1388404060,Kevin Leyton-Brown,University of Pennsylvania,Kevin_Leyton-Brown@gmail.com
38548340,S. Fiedler,California Institute of Technology,S._Fiedler@gmail.com
2098939,A. Glöckner,Columbia University,A._Glöckner@gmail.com
5860697,A. Nicklisch,Yale University,A._Nicklisch@gmail.com
2643325,A. Sirigu,"University of California, San Diego",A._Sirigu@gmail.com
47555680,A. Innocenti,"University of California, Berkeley",A._Innocenti@gmail.com
22708544,Tobias Wängberg,"University of California, Berkeley",Tobias_Wängberg@gmail.com
22708729,Mikael Böörs,Yale University,Mikael_Böörs@gmail.com
22574075,Elliot Catt,Columbia University,Elliot_Catt@gmail.com
1868196,Tom Everitt,'DeepMind',Tom_Everitt@gmail.com
144154444,Marcus Hutter,University of Pennsylvania,Marcus_Hutter@gmail.com
103296599,M. Preti,"University of California, Los Angeles",M._Preti@gmail.com
70359360,S. Pill,"University of California, Berkeley",S._Pill@gmail.com
1729159,D. Rawat,"University of California, Los Angeles",D._Rawat@gmail.com
144678875,Laurent L. Njilla,Columbia University,Laurent_L._Njilla@gmail.com
1723424,K. Kwiat,"University of California, Berkeley",K._Kwiat@gmail.com
145231705,Charles A. Kamhoua,Yale University,Charles_A._Kamhoua@gmail.com
145190435,A. Bensoussan,Harvard University,A._Bensoussan@gmail.com
2249607014,Michael Chau,University of Cambridge,Michael_Chau@gmail.com
152879053,Y. Lai,"University of California, San Diego",Y._Lai@gmail.com
2059043,S. Yam,Harvard University,S._Yam@gmail.com
2095239821,Piotr Sterczewski,"University of California, San Diego",Piotr_Sterczewski@gmail.com
8719844,Lucas N. Ferreira,California Institute of Technology,Lucas_N._Ferreira@gmail.com
2324546,Levi H. S. Lelis,Massachusetts Institute of Technology,Levi_H._S._Lelis@gmail.com
1742415696,E. Whitehead,"University of California, Berkeley",E._Whitehead@gmail.com
48630276,Amy K. Hoover,California Institute of Technology,Amy_K._Hoover@gmail.com
2168490,William Cachia,Princeton University,William_Cachia@gmail.com
1713331,Antonios Liapis,Harvard University,Antonios_Liapis@gmail.com
1686193,Georgios N. Yannakakis,Stanford University,Georgios_N._Yannakakis@gmail.com
1745330,Wookhee Min,Massachusetts Institute of Technology,Wookhee_Min@gmail.com
9808011,Bradford W. Mott,Columbia University,Bradford_W._Mott@gmail.com
34971293,Jonathan P. Rowe,"University of California, San Diego",Jonathan_P._Rowe@gmail.com
11063801,Barry Liu,Yale University,Barry_Liu@gmail.com
1717955,James C. Lester,Harvard University,James_C._Lester@gmail.com
143872539,T. Jiang,Columbia University,T._Jiang@gmail.com
1737891,J. Baras,Harvard University,J._Baras@gmail.com
145481292,Christian Reuter,University of Pennsylvania,Christian_Reuter@gmail.com
1836113,Viktor Wendel,Stanford University,Viktor_Wendel@gmail.com
145761088,S. Göbel,"University of California, Berkeley",S._Göbel@gmail.com
1725298,R. Steinmetz,Massachusetts Institute of Technology,R._Steinmetz@gmail.com
2044989,Jefry Tedjokusumo,"University of California, San Diego",Jefry_Tedjokusumo@gmail.com
1809333,S. Zhou,University of Oxford,S._Zhou@gmail.com
145231261,S. Winkler,"University of California, San Diego",S._Winkler@gmail.com
1730590,A. Barto,University of Washington,A._Barto@gmail.com
1715407,A. Abrardo,University of Michigan,A._Abrardo@gmail.com
144625576,M. Barni,University of Chicago,M._Barni@gmail.com
3192444,Kassem Kallas,'INRIA',Kassem_Kallas@gmail.com
2488892,B. Tondi,University of Pennsylvania,B._Tondi@gmail.com
2112625845,Paul Cheng,University of Oxford,Paul_Cheng@gmail.com
116150522,Ioanna Vasileiadou,Princeton University,Ioanna_Vasileiadou@gmail.com
118461124,Zafiri Makrina,California Institute of Technology,Zafiri_Makrina@gmail.com
1694028,Riky Subrata,University of Pennsylvania,Riky_Subrata@gmail.com
9392149,Albert Y. Zomaya,'Sydney University',Albert_Y._Zomaya@gmail.com
1705486,B. Landfeldt,University of Washington,B._Landfeldt@gmail.com
1398510220,L. Mo-Suwan,University of Pennsylvania,L._Mo-Suwan@gmail.com
6630757,Jiraluck Nontarak,University of Oxford,Jiraluck_Nontarak@gmail.com
6418979,W. Aekplakorn,Harvard University,W._Aekplakorn@gmail.com
4502458,W. Satheannoppakao,Princeton University,W._Satheannoppakao@gmail.com
1733122,C. Chekuri,Massachusetts Institute of Technology,C._Chekuri@gmail.com
2495534,Julia Chuzhoy,University of Washington,Julia_Chuzhoy@gmail.com
1402943721,L. Lewin-Eytan,Yale University,L._Lewin-Eytan@gmail.com
1751440,J. Naor,"University of California, Berkeley",J._Naor@gmail.com
1705969,A. Orda,Stanford University,A._Orda@gmail.com
2805650,S. Lau,Massachusetts Institute of Technology,S._Lau@gmail.com
2069452458,T. Tan,Princeton University,T._Tan@gmail.com
2069946935,S. M. Goh,"University of California, Los Angeles",S._M._Goh@gmail.com
50186592,S. Durga,"University of California, Berkeley",S._Durga@gmail.com
143819446,K. Squire,University of Cambridge,K._Squire@gmail.com
11618874,S. Thiagarajan,Princeton University,S._Thiagarajan@gmail.com
143792160,R. Thiagarajan,"University of California, Berkeley",R._Thiagarajan@gmail.com
2271397816,Yicong Wu,University of Chicago,Yicong_Wu@gmail.com
1452344900,H. Aung,California Institute of Technology,H._Aung@gmail.com
2443375,M. Khalid,University of Michigan,M._Khalid@gmail.com
2937925,H. Iida,University of Oxford,H._Iida@gmail.com
1701316,M. Kwiatkowska,California Institute of Technology,M._Kwiatkowska@gmail.com
145766447,G. Norman,University of Michigan,G._Norman@gmail.com
144381875,D. Parker,Harvard University,D._Parker@gmail.com
145651668,S. Shiva,California Institute of Technology,S._Shiva@gmail.com
40400362,Sankardas Roy,Princeton University,Sankardas_Roy@gmail.com
1710856,D. Dasgupta,University of Chicago,D._Dasgupta@gmail.com
1808500,R. Folgieri,California Institute of Technology,R._Folgieri@gmail.com
2078607,Roberto Zampolini,University of Michigan,Roberto_Zampolini@gmail.com
8511875,Jonghwan Mun,Harvard University,Jonghwan_Mun@gmail.com
14454974,P. H. Seo,University of Washington,P._H._Seo@gmail.com
3386346,Ilchae Jung,Princeton University,Ilchae_Jung@gmail.com
40030651,Bohyung Han,Columbia University,Bohyung_Han@gmail.com
50193797,Stanislava Rangelova,University of Oxford,Stanislava_Rangelova@gmail.com
150079420,Daniel Motus,University of Pennsylvania,Daniel_Motus@gmail.com
1742930,E. André,Massachusetts Institute of Technology,E._André@gmail.com
2619128,A. Furtado,University of Chicago,A._Furtado@gmail.com
144772155,André L. M. Santos,Columbia University,André_L._M._Santos@gmail.com
1931503,Geber Ramalho,University of Michigan,Geber_Ramalho@gmail.com
2023945041,Matthew Brown,Stanford University,Matthew_Brown@gmail.com
3305291,Sandhya Saisubramanian,Columbia University,Sandhya_Saisubramanian@gmail.com
1718824,Pradeep Varakantham,'Singapore Management University',Pradeep_Varakantham@gmail.com
143736701,Milind Tambe,"University of California, San Diego",Milind_Tambe@gmail.com
2426181,Mo Wei,University of Oxford,Mo_Wei@gmail.com
2116388691,Genshe Chen,Harvard University,Genshe_Chen@gmail.com
143882917,J. B. Cruz,University of Oxford,J._B._Cruz@gmail.com
123064042,L.S. Haynes,Princeton University,L.S._Haynes@gmail.com
34820048,K. Pham,"University of California, Berkeley",K._Pham@gmail.com
1752475,Erik Blasch,'AFRL',Erik_Blasch@gmail.com
143628853,Elizabeth LaPensée,University of Oxford,Elizabeth_LaPensée@gmail.com
145364912,G. Reinhardt,"University of California, Berkeley",G._Reinhardt@gmail.com
32041960,Lori S. Cook,University of Chicago,Lori_S._Cook@gmail.com
1396307944,B. King-Casas,University of Chicago,B._King-Casas@gmail.com
2708759,Pearl H. Chiu,"University of California, Los Angeles",Pearl_H._Chiu@gmail.com
16777650,Igor Kotenko,'St. Petersburg Federal Research Center of the Russian Academy of Sciences',Igor_Kotenko@gmail.com
2262881,E. Doynikova,Stanford University,E._Doynikova@gmail.com
144638626,A. Chechulin,Massachusetts Institute of Technology,A._Chechulin@gmail.com
2701127,S. Schewe,"University of California, Los Angeles",S._Schewe@gmail.com
1761581,Manny Rayner,'University of Geneva',Manny_Rayner@gmail.com
145141931,P. Bouillon,Columbia University,P._Bouillon@gmail.com
39452145,Johanna Gerlach,Stanford University,Johanna_Gerlach@gmail.com
